Method,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
Label Spreading,0.942,0.941,0.94,0.937,0.933,0.932,0.928,0.918,0.908
Label Propagation,0.92,0.918,0.914,0.913,0.908,0.907,0.903,0.901,0.895
Self-training,0.99,0.99,0.989,0.989,0.971,0.952,0.936,0.919,0.882
adamatch,0.7730007586718649,0.7701220200466695,0.7675133983109959,0.7675108215218659,0.6485737975635142,0.6457004833663399,0.3940932213986056,0.390451266173729,0.3889239026861715
fixmatch,0.7693728068668356,0.7607773182013772,0.6421274203736589,0.6419255070620944,0.634908738027951,0.3866601505191843,0.3830217471001844,0.26630857835375593,0.2582225841298679
flexmatch,0.764999808863644,0.7642749742422331,0.6444170707279091,0.6417728759856578,0.6414247653592465,0.3929096694733806,0.3869695731321321,0.2697954684285102,0.26077440061377594
fullysupervised,0.7690343040659979,0.769023192212981,0.6452323760391624,0.6437436421187828,0.63977486025596,0.6348066777737318,0.39944616689709955,0.26927138423648167,0.26647339297896355
meanteacher,0.772348828096925,0.7667008160121811,0.7634353881446879,0.642413141868834,0.6421484200844315,0.6379058315255101,0.636790994708649,0.3948199374004778,0.27594635509963616
mixmatch,0.7657717453520276,0.7535511018524292,0.638915493838394,0.635051188906733,0.38976614503968515,0.38553894502805663,0.3845856172267707,0.2632335794176221,0.2570663850253074
pimodel,0.761085849074253,0.6389233378965584,0.6334203127371648,0.3966529649183996,0.3910896663635432,0.38980868847402816,0.2717893945800744,0.26516978425805954,0.26259158561998325
pseudolabel,0.7649252781807891,0.7624154910726401,0.7614784146432637,0.7589082365127827,0.6391589038489901,0.6383788530712274,0.6306150858314483,0.6290456932606221,0.3866085253285289
remixmatch,0.7740058978680834,0.7731285037556385,0.7621910929656381,0.7594390142187033,0.6466575843099429,0.6454636870240258,0.643861195356999,0.6319031861740138,0.3974785127333259
supervised,0.7721679640743289,0.7702362798245274,0.7644339313630317,0.7629847715194501,0.6365373526789742,0.6363452712402998,0.6362597249642397,0.635632615056603,0.6338035211504934
uda,0.772049645312256,0.7703540023755286,0.7630169121366239,0.6521214418492028,0.6397793625723212,0.3963143714084136,0.39430398633478503,0.39369832215987044,0.26233997089229966
vat,0.7705921138968254,0.7604247000499115,0.7564207026426683,0.6419011304321791,0.6369085301521581,0.6317253794685412,0.3946385699493514,0.38640865930793755,0.26519965796225725
our_method,0.999,0.997,0.997,0.997,0.994,0.992,0.992,0.989,0.982
Label Spreading,0.727,0.722,0.714,0.707,0.697,0.684,0.67,0.661,0.647
Label Propagation,0.749,0.742,0.734,0.731,0.725,0.721,0.718,0.712,0.705
Self-training,0.751,0.75,0.75,0.749,0.749,0.749,0.748,0.748,0.736
adamatch,0.7740010317411921,0.7737509361497795,0.7689782736301358,0.6379135404751309,0.3973203165169822,0.39609870116068624,0.38998582682153854,0.3898384638036619,0.26822159596430817
fixmatch,0.7652128795027782,0.7548869392896678,0.6410990833377351,0.6381413265234459,0.6371230325893552,0.39064351112229817,0.3827298305829908,0.26171818697398297,0.25299823354626133
flexmatch,0.7642288186450634,0.6449272640590411,0.641332946738141,0.6345138424644686,0.6329739636009591,0.3887658475631795,0.26367467804806405,0.2629886756559018,0.2591265274896344
fullysupervised,0.7631626680938057,0.640351620602193,0.6392804563966779,0.6348076653487692,0.38730003737616453,0.38151165708390455,0.26712139233173327,0.26573918289358045,0.2611162815486679
meanteacher,0.7738814502781355,0.7708498846970294,0.7649065881501407,0.6467480113456703,0.6464351422663998,0.6439805571515164,0.6351021968477978,0.3924673607778863,0.27254349455056026
mixmatch,0.7605932082525262,0.6391138030606948,0.6388648356959077,0.6367048606458566,0.39220338389447185,0.3879118187627776,0.26332504410163987,0.2628760191083355,0.25627255528779025
pimodel,0.7613407136992612,0.7606655011200503,0.6397422481582783,0.6311861451241856,0.38885140782148225,0.3866349696557722,0.3807928885243205,0.26660176253100026,0.25749675739443667
pseudolabel,0.7538113440702044,0.6326745839610037,0.6290942527554203,0.39439523362034634,0.39156516167887423,0.38652161356413867,0.26769876873469617,0.2615084883560594,0.2613925345145513
remixmatch,0.763790208800893,0.7621498388449571,0.7609227482310001,0.7602514258266376,0.643704353093756,0.39778493061066605,0.38757893339747385,0.38440962623964914,0.38393487134274135
supervised,0.768534008247134,0.6459680644440703,0.6446709898419356,0.6439603632319446,0.63806791217081,0.3957240152230985,0.2683345992466455,0.26745765341491945,0.26728165134632664
uda,0.7748109728803079,0.7652695266531124,0.6405646198342949,0.3995545950395899,0.39481143953968273,0.3936430995099074,0.392098092394353,0.27239198911765145,0.2716548742002673
vat,0.6457560716020143,0.643292833383253,0.6389251560473567,0.632608372160921,0.39110938831872405,0.27084110575797843,0.2700324420622983,0.2625865904504086,0.25569702327027466
our_method,0.999,0.998,0.998,0.967,0.942,0.92,0.895,0.874,0.851
Label Spreading,0.92,0.918,0.916,0.912,0.911,0.902,0.891,0.881,0.856
adamatch,0.7756835195433288,0.771303303782785,0.76365122726925,0.6398337755342791,0.6376631084640031,0.39271135795810075,0.3913003816762899,0.3879359274977075,0.2722824378409633
fixmatch,0.7585618406623177,0.6385741478948631,0.6364110151120909,0.6355746223564197,0.38442350033386674,0.3821496181350837,0.2677078084451407,0.26311100440780555,0.2577280576437464
flexmatch,0.7705310483397269,0.7605279490117997,0.7563687659119744,0.6440289524984755,0.6382378569786485,0.6366605715469226,0.6353189238864596,0.38936845355324473,0.26071266596445436
fullysupervised,0.7703994821943091,0.7670336931468669,0.7616912301736182,0.6404341417177775,0.6395861235687474,0.3919963257541852,0.39176428877116404,0.38609079814751074,0.26645726175759854
meanteacher,0.7637997301267258,0.7589708213915982,0.6467828730295837,0.6445644998724203,0.6425463428072465,0.6408286300246555,0.39604473437689447,0.26705434399975875,0.26015358736988903
mixmatch,0.7685504274623802,0.7614970128000239,0.6420503066566122,0.6405855816817074,0.389852411309537,0.38116509016941874,0.3806444823816299,0.26449773363400575,0.25777085233763447
pimodel,0.7718455493347814,0.7694558270710711,0.7660894038920724,0.6408423023648677,0.6376783161846634,0.633865660436244,0.3835457767238521,0.38094430938016643,0.2610773398064554
pseudolabel,0.7690524904497218,0.7530114015214243,0.6385603620319941,0.6328045753524357,0.6305604044802259,0.3900189290017859,0.3867619517611313,0.2643710188157448,0.2553589241277306
remixmatch,0.768270110765215,0.7646094887209666,0.7624729658366426,0.6421085619689079,0.6409700021436805,0.3923157888492236,0.3907923796131216,0.389590872463905,0.26563094895597505
supervised,0.7718084343764943,0.7686930838093171,0.3924671246080328,0.3917085240025618,0.391708513078766,0.3859448882248707,0.38513001425867993,0.2687726534032629,0.2606009432201383
uda,0.7694150297615145,0.76867957802956,0.7653044950282505,0.6537926460702803,0.6492479639711263,0.6444265457694399,0.397223995343101,0.3959204010115101,0.26585904148829426
vat,0.7651575362617179,0.6411229394003515,0.6411159861474238,0.6403943982724398,0.3837245041528663,0.3810863195193726,0.2654487280574181,0.26336567037692976,0.25844615961385975
Label Propagation,0.862,0.857,0.855,0.853,0.844,0.84,0.82,0.814,0.784
Self-training,0.99,0.989,0.982,0.941,0.92,0.899,0.876,0.853,0.847
our_method,0.993,0.993,0.993,0.992,0.992,0.992,0.991,0.99,0.989
